"district","state","location_name","dist_code_2011","vill_code_2011","tot_p","tot_m","tot_f","p_lit","m_lit","f_lit","tot_work_p","tot_work_m","tot_work_f","adi_2011","msw_2011","asset_2011","fc_2011","bf_2011","adi_2019","msw_2019","asset_2019","fc_2019","bf_2019"
"ranchi","jharkhand","Gorkho","364.0","374196.0",627,317,310,356,195,161,305,160,145,"6","1","2","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Murkuni","364.0","374197.0",838,440,398,393,236,157,282,181,101,"6","2","1","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kanijari","364.0","374199.0",1089,518,571,697,368,329,685,340,345,"6","2","2","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Pareyago","364.0","374200.0",2579,1361,1218,1251,760,491,1270,716,554,"7","1","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Sakra","364.0","374201.0",2885,1460,1425,1614,965,649,1651,875,776,"10","2","2","3","3","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Loiyo","364.0","374202.0",3919,1980,1939,2275,1275,1000,1751,1003,748,"7","1","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Tangarbasuli","364.0","374203.0",3417,1759,1658,1842,1065,777,1432,911,521,"7","1","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Naro","364.0","374204.0",2027,1016,1011,1142,662,480,1071,545,526,"7","2","1","3","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Gore","364.0","374205.0",1376,701,675,815,483,332,416,338,78,"7","1","3","1","2","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Nagra","364.0","374206.0",5929,2945,2984,3464,1933,1531,2562,1499,1063,"7","2","2","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Masmano","364.0","374207.0",1373,709,664,818,468,350,655,352,303,"8","2","2","3","1","6.0","2.0","2.0","1.0","1.0"
"ranchi","jharkhand","Baski","364.0","374208.0",1730,915,815,1008,575,433,1029,547,482,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Totambi","364.0","374209.0",1086,573,513,716,424,292,491,288,203,"9","2","2","2","3","6.0","2.0","2.0","1.0","1.0"
"ranchi","jharkhand","Jhinghri","364.0","374210.0",2497,1259,1238,1392,802,590,1565,751,814,"8","1","2","3","2","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Tatkundo","364.0","374211.0",2288,1164,1124,1356,786,570,1217,618,599,"8","1","2","3","2","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Korambe","364.0","374212.0",1359,701,658,684,391,293,855,443,412,"5","1","1","2","1","8.0","1.0","3.0","3.0","1.0"
"ranchi","jharkhand","Sakarpada","364.0","374213.0",1381,701,680,859,504,355,819,423,396,"6","1","2","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Lurangi","364.0","374214.0",338,182,156,218,138,80,172,89,83,"6","2","2","1","1","6.0","2.0","2.0","1.0","1.0"
"ranchi","jharkhand","Honhe","364.0","374215.0",954,478,476,577,335,242,469,257,212,"5","2","1","1","1","7.0","3.0","2.0","1.0","1.0"
"ranchi","jharkhand","Pondri","364.0","374216.0",3519,1809,1710,2025,1096,929,1105,781,324,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Sonrkhap","364.0","374217.0",73,38,35,50,29,21,43,24,19,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Balsokra","364.0","374218.0",5518,2848,2670,3581,2024,1557,2054,1326,728,"7","1","2","1","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Birra","364.0","374219.0",846,418,428,477,264,213,300,173,127,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Patuk","364.0","374221.0",810,395,415,483,258,225,459,232,227,"6","2","2","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Sons","364.0","374222.0",2664,1246,1418,1604,771,833,1264,693,571,"8","2","2","1","3","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Chanho","364.0","374223.0",1626,802,824,923,510,413,775,402,373,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Buchaopa","364.0","374224.0",261,130,131,135,86,49,115,55,60,"8","2","2","3","1","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Lupunga","364.0","374225.0",572,285,287,325,192,133,239,113,126,"6","1","1","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Ganeshpur","364.0","374226.0",2318,1144,1174,1226,694,532,1301,643,658,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Jaipur","364.0","374227.0",496,252,244,320,187,133,267,131,136,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Raghunathpur","364.0","374228.0",2767,1427,1340,1506,883,623,1300,661,639,"5","1","2","1","1","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Opa","364.0","374229.0",983,526,457,630,358,272,265,193,72,"6","1","3","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Betlangi","364.0","374230.0",1419,706,713,829,479,350,781,459,322,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Ara","364.0","374231.0",510,266,244,301,176,125,268,133,135,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chamranga","364.0","374232.0",693,331,362,365,200,165,166,133,33,"4","1","1","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Ramdaga","364.0","374233.0",951,476,475,471,273,198,349,226,123,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chora","364.0","374235.0",2052,1035,1017,960,573,387,825,491,334,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Bachhau","364.0","374236.0",855,427,428,523,302,221,334,206,128,"12","3","3","3","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Badri","364.0","374237.0",525,239,286,295,153,142,266,128,138,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Rakadih","364.0","374238.0",98,47,51,56,34,22,22,19,3,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chatwal","364.0","374239.0",2447,1246,1201,1643,865,778,862,636,226,"8","2","2","1","3","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Pakaria","364.0","374240.0",2452,1207,1245,1487,792,695,1003,560,443,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Masmano","364.0","374241.0",2108,1026,1082,1272,701,571,1123,582,541,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Karambo","364.0","374242.0",208,106,102,113,66,47,159,84,75,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Tala","364.0","374243.0",2186,1116,1070,1198,712,486,1051,547,504,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kamta","364.0","374244.0",2401,1195,1206,1198,666,532,1316,674,642,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chaliyo","364.0","374246.0",2136,1084,1052,949,552,397,995,512,483,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Taranga","364.0","374247.0",2722,1379,1343,1365,794,571,1121,691,430,"5","2","1","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Soparam","364.0","374248.0",2090,1102,988,1020,626,394,983,562,421,"4","1","1","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Lepsar","364.0","374249.0",892,476,416,532,347,185,525,261,264,"7","2","3","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Harra","364.0","374250.0",899,451,448,472,277,195,393,230,163,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Madhukam","364.0","374251.0",894,441,453,450,263,187,539,270,269,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Nunhu","364.0","374252.0",667,345,322,265,167,98,265,145,120,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Choreya","364.0","374253.0",4994,2556,2438,3293,1881,1412,2038,1369,669,"5","1","2","1","1","8.0","1.0","3.0","3.0","1.0"
"ranchi","jharkhand","Gutua","364.0","374256.0",924,453,471,525,292,233,470,234,236,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Karkat","364.0","374257.0",3835,1903,1932,2031,1178,853,1542,941,601,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Rol (Rola)","364.0","374258.0",2489,1246,1243,1282,768,514,1211,625,586,"4","1","1","1","1","6.0","3.0","1.0","1.0","1.0"
"ranchi","jharkhand","Tangar","364.0","374259.0",3058,1563,1495,1853,1028,825,1235,768,467,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kataiya","364.0","374260.0",170,87,83,70,33,37,63,35,28,"7","2","2","2","1","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Koko","364.0","374262.0",1071,540,531,590,314,276,496,280,216,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Lundri","364.0","374263.0",3935,1970,1965,2135,1215,920,2037,1038,999,"4","1","1","1","1","6.0","2.0","2.0","1.0","1.0"
"ranchi","jharkhand","Silagain","364.0","374264.0",2637,1337,1300,1339,775,564,1248,628,620,"6","1","2","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Melani","364.0","374265.0",962,482,480,468,275,193,564,281,283,"7","2","1","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Murto","364.0","374266.0",1477,731,746,780,457,323,534,356,178,"5","2","1","1","1","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Hondpiri","364.0","374267.0",590,300,290,335,213,122,256,112,144,"5","2","1","1","1","6.0","2.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kullu","364.0","374268.0",1043,528,515,538,322,216,550,285,265,"4","1","1","1","1","6.0","2.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kanjgi","364.0","374269.0",841,436,405,391,238,153,405,222,183,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Beyasi","364.0","374270.0",1805,941,864,1144,664,480,483,395,88,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Madai","364.0","374271.0",731,371,360,360,233,127,175,172,3,"5","1","1","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Goke","364.0","374272.0",938,480,458,615,353,262,350,212,138,"7","2","1","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chutyo","364.0","374273.0",481,233,248,252,152,100,204,92,112,"6","1","2","2","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Naudi","364.0","374275.0",986,478,508,616,340,276,344,210,134,"8","1","2","2","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Barkakura","364.0","374421.0",1072,510,562,554,314,240,539,281,258,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Gudgud","364.0","374422.0",318,162,156,174,103,71,157,92,65,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Tapkara","364.0","374423.0",322,157,165,184,106,78,206,98,108,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Tangarkela","364.0","374424.0",515,251,264,301,165,136,252,123,129,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Burhni","364.0","374425.0",440,208,232,329,168,161,248,122,126,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Mahugaon","364.0","374426.0",1359,640,719,839,448,391,716,361,355,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Jariya","364.0","374427.0",826,430,396,442,257,185,513,260,253,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kathkunwari","364.0","374428.0",869,434,435,460,267,193,533,263,270,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Jamakel","364.0","374429.0",564,284,280,340,183,157,341,184,157,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Hulsu","364.0","374430.0",2017,1049,968,1295,747,548,1115,584,531,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chalangi","364.0","374431.0",1025,513,512,585,333,252,711,350,361,"4","1","1","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Ulgara","364.0","374432.0",210,96,114,128,69,59,122,55,67,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kalje","364.0","374433.0",241,110,131,100,54,46,135,68,67,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chanpi","364.0","374434.0",186,99,87,115,69,46,108,54,54,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Bankakera","364.0","374435.0",656,332,324,370,209,161,381,190,191,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Orekel","364.0","374436.0",666,335,331,261,147,114,342,159,183,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chalha","364.0","374437.0",230,117,113,126,82,44,122,66,56,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Baragain","364.0","374438.0",307,131,176,135,74,61,214,94,120,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
