"district","state","location_name","dist_code_2011","vill_code_2011","tot_p","tot_m","tot_f","p_lit","m_lit","f_lit","tot_work_p","tot_work_m","tot_work_f","adi_2011","msw_2011","asset_2011","fc_2011","bf_2011","adi_2019","msw_2019","asset_2019","fc_2019","bf_2019"
"jamui","bihar","Khaira","238.0","259094.0",9581,5068,4513,5566,3383,2183,3530,2392,1138,"6","2","2","1","1","8.0","2.0","2.0","3.0","1.0"
"jamui","bihar","Gopalpur","238.0","259095.0",3651,1908,1743,2092,1209,883,1471,1007,464,"6","2","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Raipura","238.0","259096.0",3105,1630,1475,2027,1149,878,1596,846,750,"10","2","2","3","3","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Kendih","238.0","259098.0",3268,1744,1524,1873,1161,712,1219,921,298,"6","2","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Parsa","238.0","259099.0",981,569,412,791,465,326,309,296,13,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Bhaunr","238.0","259100.0",3738,1975,1763,1966,1174,792,1474,911,563,"6","2","2","1","1","9.0","2.0","3.0","3.0","1.0"
"jamui","bihar","Pakri","238.0","259101.0",785,401,384,409,245,164,268,203,65,"8","2","2","3","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Baribag Jaljoga","238.0","259102.0",2240,1146,1094,1009,627,382,738,583,155,"7","2","1","3","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Fatehpur","238.0","259103.0",3605,1882,1723,1729,1041,688,1745,958,787,"6","2","2","1","1","7.0","1.0","2.0","3.0","1.0"
"jamui","bihar","Jorbaha Dharampur","238.0","259105.0",2074,1088,986,725,491,234,645,531,114,"5","1","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Bhojpur","238.0","259107.0",867,444,423,388,250,138,565,310,255,"5","1","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Daingarwaphulandih","238.0","259108.0",2212,1142,1070,938,630,308,820,485,335,"6","1","2","2","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Tola Naukadih","238.0","259110.0",119,61,58,59,36,23,51,27,24,"6","2","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Tola Chandar Seli","238.0","259113.0",1545,824,721,937,568,369,773,453,320,"5","1","2","1","1","7.0","1.0","2.0","3.0","1.0"
"jamui","bihar","Tola Bhalni","238.0","259120.0",558,277,281,278,164,114,318,157,161,"6","1","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Tola Tetaria","238.0","259122.0",670,358,312,273,228,45,395,205,190,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Amatari","238.0","259123.0",330,169,161,140,97,43,193,96,97,"4","1","1","1","1","8.0","2.0","2.0","3.0","1.0"
"jamui","bihar","Tola Raksa","238.0","259260.0",726,376,350,387,224,163,294,169,125,"5","1","2","1","1","6.0","1.0","2.0","2.0","1.0"
"jamui","bihar","Tola Mahgaon","238.0","259263.0",3656,1932,1724,1997,1272,725,1556,1009,547,"5","1","2","1","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Tola Bijaia","238.0","259264.0",1608,824,784,548,381,167,657,391,266,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Lewa","238.0","259265.0",508,256,252,213,153,60,298,145,153,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"jamui","bihar","Tola Hirniatanr","238.0","259267.0",54,29,25,31,19,12,22,15,7,"6","2","2","1","1","6.0","2.0","2.0","1.0","1.0"
"jamui","bihar","Tola Karmatanr","238.0","259268.0",457,219,238,203,123,80,156,104,52,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
